State,Year,total_emissions_excluding_lucf,total_emissions_including_lucf,total_co2,total_ch4,total_n2o,total_f_gas,emission_by_energy,emission_by_industrial,emission_by_agriculture,emission_by_waste,emission_by_forestry,emission_by_bunker_fuel,emission_sub_electric,emission_sub_commercial,emission_sub_residential,emission_sub_industrial,emission_sub_transportation,emission_sub_fugitive,state_gdp,population,total_energy_use
Alabama,1990,142.4172672,81.64589411,112.1571281,23.71078238,6.034132189,0.515224524,127.8818648,3.442879026,7.451524843,3.640998526,-60.77137307,0,50.58022541,2.455356102,3.233194046,25.45039513,29.58273267,16.57996143,83766,4050055,41970.97941
Alabama,1991,146.3222331,85.39018623,116.3134298,23.47930773,6.029814826,0.499680785,131.8970056,3.379383745,7.277622082,3.768221689,-60.95465078,0.022603908,54.49652514,2.023042867,3.160661046,25.66034578,30.2164634,16.33996735,86115,4099156,42409.62845
Alabama,1992,152.4447048,91.79149233,123.1302602,22.60143312,6.187902289,0.525109151,137.8009754,3.38293401,7.312518822,3.948276595,-60.67610737,0.022894892,57.26383472,2.128115837,3.35778076,28.69367544,31.04119069,15.31637794,89814,4154014,44186.34984
Alabama,1993,155.9018592,88.87027407,127.6238564,21.09571374,6.597901229,0.584387868,140.1051657,4.127819901,7.677440151,3.991433416,-67.05249074,0.020905596,63.17999654,2.074372384,3.541825188,26.49580888,31.11057054,13.70259221,91168,4214202,45543.39747
Alabama,1994,156.1428873,88.51357912,126.0173815,23.15115253,6.27045327,0.703900011,140.1629377,4.550895956,7.338171083,4.090882575,-67.6521137,0.022805487,59.15563237,2.078034316,3.41575304,27.52226396,32.38939867,15.60185537,94803,4260229,47841.19572
Alabama,1995,166.2863085,99.92038388,133.7384201,25.34117924,6.252004824,0.954704352,149.9740866,4.790454979,7.333667361,4.188099576,-66.38609396,0.020169326,64.76932982,1.98517264,3.426236758,28.23741213,33.93918108,17.61675417,98024,4296800,49704.60365
Alabama,1996,170.8227331,104.0825602,139.8015153,23.45241786,6.440509722,1.128290219,154.0950603,5.023647106,7.42142455,4.282601166,-66.75621817,0.016045263,69.96480686,2.185273241,3.846828045,29.06954962,33.34819398,15.68040855,101379,4331102,50526.05947
Alabama,1997,169.3749824,103.7034961,140.1888945,21.70290854,6.192476693,1.290702663,150.4382024,7.681095819,6.889240882,4.3664433,-65.68775527,0.016268954,68.34426795,2.437403281,3.413451227,29.11346794,32.98963652,14.13997546,122541,4367935,49709.36637
Alabama,1998,167.4404728,101.9775162,138.0090148,21.7220874,6.332828795,1.376541782,148.1038921,7.939101975,6.954451306,4.443027403,-65.47599988,0.013043265,69.31217713,1.919569847,3.169743732,25.93994741,33.59699717,14.16545684,126309,4404701,50864.86779
Alabama,1999,168.5465848,103.237825,139.9313568,21.08956422,6.004536799,1.521126956,149.9150459,7.825578793,6.560037641,4.24592243,-65.31117976,0.002419978,70.436276,2.205774316,3.378006075,26.14305188,33.90831771,13.84361994,130898,4430141,51950.13798
Alabama,2000,174.377884,108.514889,145.9742358,21.04929286,5.754257491,1.600097856,155.855008,7.936824844,6.298966526,4.287084653,-65.87041707,0.007422068,75.27937688,2.269260807,3.731561916,25.51230932,35.22403306,13.83846605,132699,4452173,53212.4604
Alabama,2001,164.8681418,98.83282771,137.569206,19.80633651,5.822213139,1.670386135,146.0264414,7.973591067,6.374233292,4.493875985,-66.04815326,0.012839181,72.53350742,2.181328514,3.59269954,22.04180205,33.08235175,12.59475217,133888,4467634,48332.08348
Alabama,2002,168.5026636,101.6924042,143.0600942,18.17977711,5.530356877,1.73243548,149.0988171,8.538507354,6.216304814,4.649034349,-66.81847033,0.008210844,75.98805011,2.00969465,3.301607518,22.01646318,34.92881589,10.85418577,137086,4480089,49868.19931
Alabama,2003,170.1049135,103.2096825,144.3114587,18.48761974,5.527880161,1.777954912,150.1703181,8.93666099,6.414499921,4.58343456,-66.90290165,0.007670649,76.71395271,2.121470112,3.143280833,23.29076492,33.79354154,11.10730795,140020,4503491,49674.94375
Alabama,2004,172.2891923,105.1761436,146.9299359,17.93833638,5.601359354,1.819560628,152.0742388,9.231217992,6.451566087,4.532169406,-67.14948319,0.036434483,76.21614185,2.17479217,3.037442069,23.73407308,36.20074386,10.71104577,146937,4530729,52537.11173
Alabama,2005,172.4213659,104.8386493,148.3295054,16.85505572,5.368439425,1.868365334,152.3549988,9.132229535,6.251228753,4.682908773,-67.58972887,0.00701234,79.84998759,1.859467508,2.765372205,22.30553749,35.98853621,9.586097786,150968,4569805,52074.85069
Alabama,2006,175.0700024,106.6172951,151.3225869,16.64557355,5.151707311,1.950134689,154.4457272,9.687624947,6.088326718,4.848323544,-68.46137748,0.008670166,82.14025486,2.235612412,2.545856519,21.78384778,36.43429586,9.30585978,153681,4628981,53043.19484
Alabama,2007,177.9388748,109.6081623,152.6756262,17.98847533,5.229498469,2.045274856,157.0567258,9.620206256,6.279736604,4.982206207,-68.34053024,0.009817712,84.40101986,1.999571021,2.416697016,21.14826718,36.64382948,10.44734121,155388,4672840,52753.6013
Alabama,2008,172.9148026,103.8804957,144.544388,21.08331673,5.116308143,2.170789644,152.4808685,9.28497879,6.241847662,4.907107634,-69.04453723,0.010230344,79.60738638,2.015852842,2.575801895,20.77890125,33.81564437,13.68728174,155870,4718206,50866.37976
